2021 Am Law 200 Rank (FY:2020),2020 Am Law 200 Rank (FY:2019),Firm Name,Gross Revenue,Revenue per Lawyer,2021 Rank By  RPL (FY:2020),Net  Operating Income,Profits Per Equity Partner,"Rank by PPP (FY:2020)
",Profitability Index,Rank By API (FY:2020),"Compensation Average, All Partners",Rank By CAP (FY:2020),Compensation of Non-Equity Partners,Rank By  VPL (FY:2020),CAP divided by number of Lawyers (VPL) (FY:2020),Lawyers Needed to Generate $10 Million (FY:2020),Number of Lawyers,Number of Equity Partners,Number of Non-Equity Partners,Total Partners,Leverage,Profit Margin,Profits Per Lawyer,Rank by PPL,Source,Notes
77,89,Crowell & Moring,514391000,1106000,55,145188000,1629000,71,1.47,102,1142000,67,69251000,76,461000,21.69,465,89,99,188,4.22,28,312000,97,"The American Lawyer, May 18, 2021",
78,83,Barnes & Thornburg,506189000,818000,106,256888000,1067000,117,1.3,120,780000,107,66633000,56,523000,19.12,619,241,174,415,1.57,51,415000,63,"The American Lawyer, May 18, 2021",
79,85,"Mintz, Levin, Cohn, Ferris, Glovsky and Popeo",502100000,1047000,64,158100000,1882000,63,1.8,67,1118000,69,115800000,48,571000,17.51,480,84,161,245,4.71,31,330000,87,"The American Lawyer, May 18, 2021",Fiscal year ends March 31. Results are projected in order to meet The Am Law 100's publishing deadline.
80,78,Kilpatrick Townsend & Stockton,497936000,884000,88,165803000,1357000,86,1.54,92,904000,90,61080000,101,403000,24.81,563,122,129,251,3.61,33,294000,111,"The American Lawyer, May 18, 2021",
81,75,Nixon Peabody,488753000,885000,87,196510000,1631000,70,1.84,62,840000,102,45833000,91,439000,22.78,552,121,168,289,3.58,40,356000,77,"The American Lawyer, May 18, 2021",
82,80,Blank Rome,483370000,869000,93,154954000,1088000,112,1.25,133,764000,111,83236000,94,428000,23.36,556,142,169,312,2.91,32,279000,122,"The American Lawyer, May 18, 2021",
83,76,Locke Lord,482096000,820000,104,199143000,1075000,115,1.31,117,889000,95,30566000,111,391000,25.58,588,185,73,259,2.17,41,339000,81,"The American Lawyer, May 18, 2021",
84,79,Womble Bond Dickinson,476192000,537000,181,158760000,718000,161,1.34,112,497000,172,33479000,191,217000,46.08,886,221,166,387,3.01,33,179000,181,"The American Lawyer, May 18, 2021",
85,86,"Cadwalader, Wickersham & Taft",452572000,1129000,49,143022000,2554000,37,2.26,35,1806000,43,39373000,83,455000,21.98,401,56,45,101,6.16,32,357000,76,"The American Lawyer, May 18, 2021",
86,88,Akerman,451682000,699000,136,197509000,748000,156,1.07,170,598000,143,50065000,115,383000,26.11,647,264,150,414,1.45,44,305000,102,"The American Lawyer, May 18, 2021",
87,81,Fish & Richardson,451237000,1405000,26,183085000,1984000,55,1.41,107,1370000,56,36088000,32,682000,14.66,321,92,68,160,2.48,41,570000,33,"The American Lawyer, May 18, 2021",
88,87,Jenner & Block,446295000,1036000,65,190796000,1737000,68,1.68,80,1239000,64,44988000,51,547000,18.28,431,110,80,190,2.92,43,443000,55,"The American Lawyer, May 18, 2021",
89,92,Davis Wright Tremaine,445253000,834000,101,153154000,896000,139,1.07,170,731000,118,42257000,124,366000,27.32,534,171,96,267,2.12,34,287000,115,"The American Lawyer, May 18, 2021",
90,84,Schulte Roth & Zabel,444700000,1278000,33,220250000,3239000,25,2.53,26,3239000,18,0,38,633000,15.8,348,68,0,68,4.12,50,633000,27,"The American Lawyer, May 18, 2021",
91,97,Cahill Gordon & Reindel,444400000,1600000,11,294600000,4570000,9,2.86,12,4480000,8,5700000,5,1081000,9.25,278,64,3,67,3.31,66,1061000,5,"The American Lawyer, May 18, 2021",
